move_id,label,rep,children
q3nc8.g.move.1,ready,none,id(q3nc8g.1)
q3nc8.g.move.2,query_yn,none,id(q3nc8g.3)..id(q3nc8g.10)
q3nc8.g.move.3.5,,none,id(q3nc8g.12)
q3nc8.g.move.4,acknowledge,none,id(q3nc8g.13)
q3nc8.g.move.4.5,,none,id(q3nc8g.15)..id(q3nc8g.17)
q3nc8.g.move.5,instruct,none,id(q3nc8g.18)..id(q3nc8g.50)
q3nc8.g.move.6.5,,none,id(q3nc8g.52)
q3nc8.g.move.7,align,none,id(q3nc8g.53)
q3nc8.g.move.7.5,,none,id(q3nc8g.55)..id(q3nc8g.57)
q3nc8.g.move.8,instruct,none,id(q3nc8g.58)..id(q3nc8g.69)
q3nc8.g.move.9.5,,none,id(q3nc8g.71)
q3nc8.g.move.10,reply_n,none,id(q3nc8g.72)..id(q3nc8g.76)
q3nc8.g.move.12.5,,none,id(q3nc8g.78)..id(q3nc8g.80)
q3nc8.g.move.13,instruct,none,id(q3nc8g.81)..id(q3nc8g.105)
q3nc8.g.move.14.5,,none,id(q3nc8g.106)
q3nc8.g.move.15,align,none,id(q3nc8g.107)
q3nc8.g.move.15.5,,none,id(q3nc8g.109)..id(q3nc8g.111)
q3nc8.g.move.16,instruct,none,id(q3nc8g.112)..id(q3nc8g.124)
q3nc8.g.move.18.5,,none,id(q3nc8g.126)
q3nc8.g.move.19,acknowledge,none,id(q3nc8g.127)..id(q3nc8g.133)
q3nc8.g.move.20.5,,none,id(q3nc8g.135)..id(q3nc8g.137)
q3nc8.g.move.21,reply_n,none,id(q3nc8g.138)
q3nc8.g.move.22,reply_w,none,id(q3nc8g.140)..id(q3nc8g.174)
q3nc8.g.move.25.5,,none,id(q3nc8g.176)
q3nc8.g.move.26,reply_y,none,id(q3nc8g.177)
q3nc8.g.move.27.5,,none,id(q3nc8g.179)
q3nc8.g.move.28,clarify,self,id(q3nc8g.180)..id(q3nc8g.183)
q3nc8.g.move.29.5,,none,id(q3nc8g.185)
q3nc8.g.move.30,query_yn,none,id(q3nc8g.186)..id(q3nc8g.192)
q3nc8.g.move.31.5,,none,id(q3nc8g.194)
q3nc8.g.move.32,clarify,none,id(q3nc8g.195)..id(q3nc8g.196)
q3nc8.g.move.33.5,,none,id(q3nc8g.198)..id(q3nc8g.200)
q3nc8.g.move.34,acknowledge,none,id(q3nc8g.201)
q3nc8.g.move.34.5,,none,id(q3nc8g.202)
q3nc8.g.move.35,instruct,none,id(q3nc8g.203)..id(q3nc8g.228)
q3nc8.g.move.38.5,,none,id(q3nc8g.230)..id(q3nc8g.232)
q3nc8.g.move.39,instruct,none,id(q3nc8g.233)..id(q3nc8g.246)
q3nc8.g.move.39.5,,none,id(q3nc8g.248)
q3nc8.g.move.40,align,none,id(q3nc8g.249)
q3nc8.g.move.40.5,,none,id(q3nc8g.251)
q3nc8.g.move.41,query_yn,none,id(q3nc8g.253)..id(q3nc8g.258)
q3nc8.g.move.44.5,,none,id(q3nc8g.260)
q3nc8.g.move.45,acknowledge,other,id(q3nc8g.261)..id(q3nc8g.262)
q3nc8.g.move.45.5,,none,id(q3nc8g.264)..id(q3nc8g.265)
q3nc8.g.move.46,ready,none,id(q3nc8g.266)..id(q3nc8g.268)
q3nc8.g.move.46.5,,none,id(q3nc8g.269)
q3nc8.g.move.47,instruct,none,id(q3nc8g.270)..id(q3nc8g.277)
q3nc8.g.move.48.5,,none,id(q3nc8g.279)..id(q3nc8g.281)
q3nc8.g.move.49,instruct,none,id(q3nc8g.282)..id(q3nc8g.292)
q3nc8.g.move.50.5,,none,id(q3nc8g.294)..id(q3nc8g.296)
q3nc8.g.move.51,instruct,none,id(q3nc8g.297)..id(q3nc8g.333)
q3nc8.g.move.52.5,,none,id(q3nc8g.335)
q3nc8.g.move.53,explain,none,id(q3nc8g.336)..id(q3nc8g.348)
q3nc8.g.move.55.5,,none,id(q3nc8g.350)..id(q3nc8g.352)
q3nc8.g.move.56,reply_y,other,id(q3nc8g.353)..id(q3nc8g.358)
q3nc8.g.move.56.5,,none,id(q3nc8g.360)
q3nc8.g.move.57,reply_y,other,id(q3nc8g.361)..id(q3nc8g.365.1)
q3nc8.g.move.58.5,,none,id(q3nc8g.367)
q3nc8.g.move.59,reply_y,other,id(q3nc8g.368)..id(q3nc8g.373)
q3nc8.g.move.59.5,,none,id(q3nc8g.375)
q3nc8.g.move.60,clarify,none,id(q3nc8g.376)..id(q3nc8g.385)
q3nc8.g.move.62.5,,none,id(q3nc8g.387)
q3nc8.g.move.63,ready,none,id(q3nc8g.388)
q3nc8.g.move.64.5,,none,id(q3nc8g.390)..id(q3nc8g.392)
q3nc8.g.move.65,clarify,none,id(q3nc8g.393)..id(q3nc8g.407)
q3nc8.g.move.68.5,,none,id(q3nc8g.409)..id(q3nc8g.411)
q3nc8.g.move.69,align,none,id(q3nc8g.412)..id(q3nc8g.426)
q3nc8.g.move.69.5,,none,id(q3nc8g.428)
q3nc8.g.move.70,explain,none,id(q3nc8g.429)..id(q3nc8g.437)
q3nc8.g.move.71.5,,none,id(q3nc8g.438)..id(q3nc8g.439)
q3nc8.g.move.72,explain,none,id(q3nc8g.440)..id(q3nc8g.455)
q3nc8.g.move.72.1,,none,id(q3nc8g.456)
q3nc8.g.move.72.2,align,none,id(q3nc8g.457)
q3nc8.g.move.72.9,explain,none,id(q3nc8g.458)..id(q3nc8g.461)
q3nc8.g.move.73.5,,none,id(q3nc8g.462)
q3nc8.g.move.74,clarify,none,id(q3nc8g.463)..id(q3nc8g.471)
q3nc8.g.move.75.5,,none,id(q3nc8g.473)
q3nc8.g.move.76,explain,none,id(q3nc8g.474)..id(q3nc8g.477)
q3nc8.g.move.77.5,,none,id(q3nc8g.479)
q3nc8.g.move.78,explain,none,id(q3nc8g.480)..id(q3nc8g.487)
q3nc8.g.move.80.5,,none,id(q3nc8g.489)
q3nc8.g.move.81,acknowledge,none,id(q3nc8g.490)..id(q3nc8g.491)
q3nc8.g.move.81.4,,none,id(q3nc8g.492)
q3nc8.g.move.81.5,ready,none,id(q3nc8g.493)
q3nc8.g.move.81.9,,none,id(q3nc8g.495)..id(q3nc8g.499)
q3nc8.g.move.82,instruct,none,id(q3nc8g.500)..id(q3nc8g.520)
q3nc8.g.move.83.5,,none,id(q3nc8g.522)..id(q3nc8g.524)
q3nc8.g.move.84,align,none,id(q3nc8g.525)..id(q3nc8g.528)
q3nc8.g.move.85.5,,none,id(q3nc8g.529)
q3nc8.g.move.86,clarify,none,id(q3nc8g.530)..id(q3nc8g.539)
q3nc8.g.move.89.5,,none,id(q3nc8g.541)
q3nc8.g.move.90,instruct,none,id(q3nc8g.542)..id(q3nc8g.554)
q3nc8.g.move.91.5,,none,id(q3nc8g.556)..id(q3nc8g.558)
q3nc8.g.move.92,instruct,none,id(q3nc8g.559)..id(q3nc8g.575)
q3nc8.g.move.93.5,,none,id(q3nc8g.577)..id(q3nc8g.579)
q3nc8.g.move.94,instruct,none,id(q3nc8g.580)..id(q3nc8g.593)
q3nc8.g.move.95.5,,none,id(q3nc8g.595)
q3nc8.g.move.96,instruct,none,id(q3nc8g.596)..id(q3nc8g.603)
q3nc8.g.move.97.5,,none,id(q3nc8g.605)..id(q3nc8g.607)
q3nc8.g.move.98,clarify,none,id(q3nc8g.608)..id(q3nc8g.627)
q3nc8.g.move.99.5,,none,id(q3nc8g.629)
q3nc8.g.move.100,reply_y,none,id(q3nc8g.630)
q3nc8.g.move.101.5,,none,id(q3nc8g.632)
q3nc8.g.move.102,ready,none,id(q3nc8g.633)..id(q3nc8g.635)
q3nc8.g.move.102.5,,none,id(q3nc8g.636)..id(q3nc8g.638)
q3nc8.g.move.103,align,none,id(q3nc8g.639)..id(q3nc8g.648)
q3nc8.g.move.104.5,,none,id(q3nc8g.650)
q3nc8.g.move.105,acknowledge,none,id(q3nc8g.651)..id(q3nc8g.652)
q3nc8.g.move.105.5,,none,id(q3nc8g.654)..id(q3nc8g.656)
q3nc8.g.move.106,instruct,none,id(q3nc8g.657)..id(q3nc8g.672)
q3nc8.g.move.106.5,,none,id(q3nc8g.674)..id(q3nc8g.676)
q3nc8.g.move.107,instruct,none,id(q3nc8g.677)..id(q3nc8g.691)
q3nc8.g.move.108.5,,none,id(q3nc8g.693)
q3nc8.g.move.109,instruct,none,id(q3nc8g.694)..id(q3nc8g.724)
q3nc8.g.move.110.5,,none,id(q3nc8g.726)..id(q3nc8g.729)
q3nc8.g.move.111,align,none,id(q3nc8g.730)
q3nc8.g.move.113.5,,none,id(q3nc8g.732)..id(q3nc8g.735)
q3nc8.g.move.114,reply_y,none,id(q3nc8g.736)..id(q3nc8g.742)
q3nc8.g.move.115,clarify,none,id(q3nc8g.743)..id(q3nc8g.745)
q3nc8.g.move.116.5,,none,id(q3nc8g.747)
q3nc8.g.move.117,instruct,none,id(q3nc8g.748)..id(q3nc8g.767)
q3nc8.g.move.118.5,,none,id(q3nc8g.769)..id(q3nc8g.774)
q3nc8.g.move.119,instruct,none,id(q3nc8g.775)..id(q3nc8g.783)
q3nc8.g.move.121.5,,none,id(q3nc8g.785)..id(q3nc8g.786)
q3nc8.g.move.122,reply_n,none,id(q3nc8g.787)
q3nc8.g.move.122.5,,none,id(q3nc8g.789)..id(q3nc8g.792)
q3nc8.g.move.123,instruct,none,id(q3nc8g.793)..id(q3nc8g.827)
q3nc8.g.move.125.5,,none,id(q3nc8g.829)..id(q3nc8g.831)
q3nc8.g.move.126,clarify,none,id(q3nc8g.832)..id(q3nc8g.855)
q3nc8.g.move.126.5,,none,id(q3nc8g.857)
q3nc8.g.move.127,align,none,id(q3nc8g.858)
q3nc8.g.move.127.5,,none,id(q3nc8g.859)
q3nc8.g.move.128,clarify,none,id(q3nc8g.860)..id(q3nc8g.874)
q3nc8.g.move.130.5,,none,id(q3nc8g.876)
q3nc8.g.move.131,reply_y,none,id(q3nc8g.877)
q3nc8.g.move.131.5,,none,id(q3nc8g.879)
q3nc8.g.move.132,clarify,none,id(q3nc8g.880)..id(q3nc8g.882)
q3nc8.g.move.134.5,,none,id(q3nc8g.884)
q3nc8.g.move.135,reply_w,none,id(q3nc8g.885)..id(q3nc8g.888)
q3nc8.g.move.137.5,,none,id(q3nc8g.890)
q3nc8.g.move.138,reply_n,none,id(q3nc8g.891)
q3nc8.g.move.139,reply_w,none,id(q3nc8g.893)..id(q3nc8g.906)
q3nc8.g.move.142.5,,none,id(q3nc8g.908)
q3nc8.g.move.143,explain,none,id(q3nc8g.909)..id(q3nc8g.915)
