move_id,label,rep,children
q1ec7.f.move.2.5,,none,id(q1ec7f.1)..id(q1ec7f.3)
q1ec7.f.move.3,acknowledge,none,id(q1ec7f.4)
q1ec7.f.move.4.5,,none,id(q1ec7f.6)
q1ec7.f.move.5,reply_y,none,id(q1ec7f.7)
q1ec7.f.move.7.5,,none,id(q1ec7f.9)..id(q1ec7f.13)
q1ec7.f.move.8,acknowledge,none,id(q1ec7f.14)..id(q1ec7f.17)
q1ec7.f.move.11.5,,none,id(q1ec7f.18)
q1ec7.f.move.12,acknowledge,none,id(q1ec7f.19)
q1ec7.f.move.13.5,,none,id(q1ec7f.21)..id(q1ec7f.26)
q1ec7.f.move.14,query_yn,none,id(q1ec7f.27)..id(q1ec7f.46)
q1ec7.f.move.15.5,,none,id(q1ec7f.48)
q1ec7.f.move.16,reply_w,none,id(q1ec7f.49)..id(q1ec7f.55)
q1ec7.f.move.19.5,,none,id(q1ec7f.57)..id(q1ec7f.62)
q1ec7.f.move.20,reply_w,none,id(q1ec7f.63)..id(q1ec7f.77)
q1ec7.f.move.22.5,,none,id(q1ec7f.79)
q1ec7.f.move.23,acknowledge,none,id(q1ec7f.80)..id(q1ec7f.82)
q1ec7.f.move.25.5,,none,id(q1ec7f.83)..id(q1ec7f.85)
q1ec7.f.move.26,check,none,id(q1ec7f.86)..id(q1ec7f.87)
q1ec7.f.move.27.5,,none,id(q1ec7f.89)
q1ec7.f.move.28,acknowledge,none,id(q1ec7f.90)..id(q1ec7f.91)
q1ec7.f.move.29,explain,none,id(q1ec7f.93)..id(q1ec7f.101)
q1ec7.f.move.30.5,,none,id(q1ec7f.102)
q1ec7.f.move.31,reply_y,none,id(q1ec7f.103)..id(q1ec7f.105)
q1ec7.f.move.33.5,,none,id(q1ec7f.106)..id(q1ec7f.108)
q1ec7.f.move.34,check,none,id(q1ec7f.109)..id(q1ec7f.118)
q1ec7.f.move.36.5,,none,id(q1ec7f.120)..id(q1ec7f.124)
q1ec7.f.move.37,reply_y,none,id(q1ec7f.125)
q1ec7.f.move.38.5,,none,id(q1ec7f.127)..id(q1ec7f.129)
q1ec7.f.move.39,reply_y,none,id(q1ec7f.130)
q1ec7.f.move.40.5,,none,id(q1ec7f.132)
q1ec7.f.move.41,query_yn,none,id(q1ec7f.133)..id(q1ec7f.147)
q1ec7.f.move.42.5,,none,id(q1ec7f.148)
q1ec7.f.move.43,query_yn,none,id(q1ec7f.149)..id(q1ec7f.153)
q1ec7.f.move.44.5,,none,id(q1ec7f.155)
q1ec7.f.move.45,acknowledge,none,id(q1ec7f.156)
q1ec7.f.move.46.5,,none,id(q1ec7f.158)..id(q1ec7f.160)
